first_name,last_name,full_name,pos,war_pos,war_p,war_tot,war_162,wae,wam,wwpa,wwar,c_pct,rp_pct,wwar_norm,is_pitcher,is_hitter,b_pa,b_ab,b_h,b_2b,b_3b,b_hr,b_bb,b_hbp,b_sf,ba,obp,slg,ops_plus,p_w,p_l,p_sv,p_ip,p_h,p_er,p_bb,p_so,p_hr,era,era_plus,hof_status,induction_year
Jonathan,Papelbon,Jonathan Papelbon,P,0.0,17.1,17.1,17.1,8.0,2.7,3.7,31.5,,0.992,36.8,yes,,,,,,,,,,,,,,,23,19,219,429.3,322,111,115,509,31,2.33,197,active
Ellis,Kinder,Ellis Kinder,P,-1.8,24.2,22.4,23.6,6.8,1.2,0.0,31.6,,0.756,35.7,yes,,,,,,,,,,,,,,,86,52,91,1142.3,1086,416,403,557,92,3.28,135,hof,2006
Joe,Cronin,Joe Cronin,SS,26.9,0.0,26.9,28.3,6.9,0.2,0.0,35.4,,,35.4,,yes,4584,3892,1168,270,44,119,585,18,0,0.300,0.394,0.484,122,,,,,,,,,,,,hof,1995
Dustin,Pedroia,Dustin Pedroia,2B,24.3,0.0,24.3,24.3,9.7,0.8,0.4,35.2,,,35.2,,yes,3201,2825,862,206,8,75,301,25,30,0.305,0.373,0.463,117,,,,,,,,,,,,active
Dutch,Leonard,Dutch Leonard,P,-0.6,22.8,22.2,23.4,7.1,1.6,1.3,33.3,,0.237,34.7,yes,,,,,,,,,,,,,,,90,64,11,1361.3,1134,322,412,771,16,2.13,129
Tim,Wakefield,Tim Wakefield,P,-0.6,29.6,29.0,29.6,3.9,0.0,-0.4,33.0,,0.271,34.6,yes,,,,,,,,,,,,,,,186,168,22,3006.0,2931,1480,1095,2046,401,4.43,106,ineligible
Jason,Varitek,Jason Varitek,C,23.1,0.0,23.1,23.1,6.6,0.1,-0.7,29.1,0.962,,33.9,,yes,5839,5099,1307,306,14,193,614,61,43,0.256,0.341,0.435,98,,,,,,,,,,,,ineligible
Derek,Lowe,Derek Lowe,P,-0.1,18.4,18.3,18.3,8.4,1.5,1.8,30.0,,0.711,33.7,yes,,,,,,,,,,,,,,,70,55,85,1037.0,1024,429,312,673,69,3.72,128,active
Bob,Stanley,Bob Stanley,P,0.0,21.5,21.5,21.5,7.1,1.4,-1.1,28.9,,0.867,33.2,yes,,,,,,,,,,,,,,,115,97,132,1707.0,1858,690,471,693,113,3.64,119,hof,2000
Jon,Lester,Jon Lester,P,-0.2,22.9,22.7,22.7,8.8,0.0,1.4,32.9,,0.006,32.9,yes,,,,,,,,,,,,,,,76,34,0,957.7,873,376,362,894,85,3.53,128,active
Dick,Radatz,Dick Radatz,P,-0.6,14.9,14.3,14.3,9.0,4.5,0.0,27.8,,1.000,32.6,yes,,,,,,,,,,,,,,,49,34,104,557.3,420,164,213,627,45,2.65,147,hof,2010
Tex,Hughson,Tex Hughson,P,-2.7,24.4,21.7,22.8,8.2,0.1,-0.3,30.9,,0.307,32.5,yes,,,,,,,,,,,,,,,96,54,17,1375.7,1270,450,372,693,77,2.94,125,hof,2002
Mo,Vaughn,Mo Vaughn,1B,24.0,0.0,24.0,25.4,7.2,0.0,-0.4,32.2,,,32.2,,yes,4452,3828,1165,199,10,230,519,71,34,0.304,0.394,0.542,140,,,,,,,,,,,,hof,1997
Carl,Mays,Carl Mays,P,2.8,14.8,17.6,19.6,5.8,0.0,3.2,28.7,,0.353,30.4,yes,,,,,,,,,,,,,,,72,51,12,1105.0,918,271,290,399,8,2.21,124
Mike,Greenwell,Mike Greenwell,LF,23.5,0.0,23.5,23.9,5.6,1.2,-0.6,30.0,,,30.0,,yes,5166,4623,1400,275,38,130,460,39,41,0.303,0.368,0.463,120,,,,,,,,,,,,hof,2008
Dennis,Eckersley,Dennis Eckersley,P,0.0,19.4,19.4,19.4,8.0,1.2,0.0,28.6,,0.207,29.6,yes,,,,,,,,,,,,,,,88,71,1,1371.7,1408,598,312,771,167,3.92,109,hof,2004
Joe,Dobson,Joe Dobson,P,-1.1,22.6,21.5,22.6,4.0,0.0,1.4,28.0,,0.220,29.0,yes,,,,,,,,,,,,,,,106,72,9,1544.0,1464,612,604,690,88,3.57,115
Vern,Stephens,Vern Stephens,SS,20.1,0.0,20.1,21.1,6.7,0.8,0.0,28.6,,,28.6,,yes,2872,2545,721,124,20,122,320,3,0,0.283,0.364,0.492,118,,,,,,,,,,,,hof,1995
Frank,Sullivan,Frank Sullivan,P,-2.8,23.1,20.3,21.4,5.3,0.0,0.0,26.7,,0.202,27.6,yes,,,,,,,,,,,,,,,90,80,6,1505.3,1455,581,475,821,124,3.47,120,hof,2000
Pete,Runnels,Pete Runnels,1B,20.0,0.0,20.0,20.8,6.4,0.0,0.0,27.2,,,27.2,,yes,3004,2578,825,147,21,29,378,15,15,0.320,0.408,0.427,124,,,,,,,,,,,,hof,1995
Ray,Collins,Ray Collins,P,0.0,19.3,19.3,20.3,5.4,0.0,0.0,25.7,,0.241,26.8,yes,,,,,,,,,,,,,,,84,62,4,1336.0,1246,373,269,511,15,2.51,115
